1000; EMCY_LEVEL_SYSTEM; Driver: Up Command; 
1001; EMCY_LEVEL_SYSTEM; Driver: Down Command; 
1002; EMCY_LEVEL_SYSTEM; Logging Stopped; 
1003; EMCY_LEVEL_SYSTEM; Logging Restarted; 
1004; EMCY_LEVEL_SYSTEM; ACC ENERGY TOO LOW; 
1005; EMCY_LEVEL_SYSTEM; RADIO STILL ON; 
1006; EMCY_LEVEL_SYSTEM; RELEASE THROTTLE; 
1007; EMCY_LEVEL_SYSTEM; APPLY BRAKE PRESSURE; 
100A; EMCY_LEVEL_SYSTEM; Diagnostic Trigger 0; 
100B; EMCY_LEVEL_SYSTEM; Diagnostic Trigger 1; 
100C; EMCY_LEVEL_SYSTEM; Diagnostic Trigger 2; 
100D; EMCY_LEVEL_SYSTEM; Diagnostic Trigger 3; 
100E; EMCY_LEVEL_SYSTEM; Diagnostic Trigger 4; 
100F; EMCY_LEVEL_SYSTEM; Diagnostic Trigger 5; 
4000; EMCY_LEVEL_SYSTEM; Node overtemperature; 
4001; EMCY_LEVEL_SYSTEM; Node temp warning; 
5000; EMCY_LEVEL_TRACTION; Chk Throttle Sensor 1; 
5001; EMCY_LEVEL_TRACTION; Chk Throttle Sensor 2; 
5002; EMCY_LEVEL_TRACTION; Chk Brake Pres Rear; 
5003; EMCY_LEVEL_TRACTION; Chk Steer Angle PS; 
5004; EMCY_LEVEL_TRACTION; Chk Steer Angle Shaft; 
5005; EMCY_LEVEL_FC; Chk H2 Comp Front; 
5006; EMCY_LEVEL_FC; Chk H2 Comp Rear; 
5007; EMCY_LEVEL_FC; Chk Tank Front Temp; 
5008; EMCY_LEVEL_FC; Chk Tank Front Pres; 
5009; EMCY_LEVEL_FC; Chk Tank Rear Temp; 
500A; EMCY_LEVEL_FC; Chk Tank Rear Pres; 
500B; EMCY_LEVEL_SYSTEM; Chk Rad Righ Temp In; 
500C; EMCY_LEVEL_SYSTEM; Chk Rad Righ Temp Out; 
500D; EMCY_LEVEL_SYSTEM; Chk Rad Left Temp In; 
500E; EMCY_LEVEL_SYSTEM; Chk Rad Left Temp Out; 
500F; EMCY_LEVEL_FC; Chk FC H2 RTH In; 
5010; EMCY_LEVEL_FC; Chk FC H2 Pres In; 
5011; EMCY_LEVEL_FC; Chk FC H2 RTH Out; 
5012; EMCY_LEVEL_FC; Chk FC H2 Pres Out; 
5013; EMCY_LEVEL_FC; Chk LPB H2 Pres Front; 
5014; EMCY_LEVEL_FC; Chk LPB H2 Pres Rear; 
5015; EMCY_LEVEL_FC; Chk Prop Valve Temp; 
5016; EMCY_LEVEL_FC; Chk LPB MFC Temp; 
5017; EMCY_LEVEL_LOW_SIDE; Chk Castle Temp; 
5018; EMCY_LEVEL_LOW_SIDE; Chk Recirc Vicor Temp; 
5019; EMCY_LEVEL_LOW_SIDE; Chk Recirc Vicor Crnt; 
501A; EMCY_LEVEL_FC; Chk FC Air RTH In; 
501B; EMCY_LEVEL_FC; Chk FC Air RTH Out; 
501C; EMCY_LEVEL_FC; Chk FC Air Pres In; 
501D; EMCY_LEVEL_FC; Chk FC Air pres Out; 
501E; EMCY_LEVEL_FC; Chk Comp Air Massflow; 
501F; EMCY_LEVEL_FC; Chk Comp Air RTH In; 
5020; EMCY_LEVEL_FC; Chk Comp Air Temp Out; 
5021; EMCY_LEVEL_FC; Chk Comp Air Pres Out; 
5022; EMCY_LEVEL_FC; Chk Comp Air Pres In; 
5023; EMCY_LEVEL_FC; Chk Exhaust RTH Out; 
5024; EMCY_LEVEL_LOW_SIDE; Chk LSJB Temp; 
5025; EMCY_LEVEL_LOW_SIDE; Chk LSJB Isense; 
5026; EMCY_LEVEL_LOW_SIDE; Chk LSJB Isense Ref; 
5027; EMCY_LEVEL_HIGH_SIDE; Chk HSJB Temp; 
5028; EMCY_LEVEL_HIGH_SIDE; Chk HSJB Isense; 
5029; EMCY_LEVEL_HIGH_SIDE; Chk HSJB Isense Ref; 
502A; EMCY_LEVEL_FC; Chk FC Cool Temp In; 
502B; EMCY_LEVEL_FC; Chk FC Cool Pres In; 
502C; EMCY_LEVEL_FC; Chk FC Cool Temp Out; 
502D; EMCY_LEVEL_FC; Chk FC Cool Pres Out; 
502E; EMCY_LEVEL_FC; Chk FC RadR Temp Out; 
